,tenure,tenure_group
0,1,0-20
1,34,21-40
2,2,0-20
3,45,41-60
4,2,0-20
5,8,0-20
6,22,21-40
7,10,0-20
8,28,21-40
9,62,61-80
10,13,0-20
11,16,0-20
12,58,41-60
13,49,41-60
14,25,21-40
15,69,61-80
16,52,41-60
17,71,61-80
18,10,0-20
19,21,21-40
20,1,0-20
21,12,0-20
22,1,0-20
23,58,41-60
24,49,41-60
25,30,21-40
26,47,41-60
27,1,0-20
28,72,61-80
29,17,0-20
30,71,61-80
31,2,0-20
32,27,21-40
33,1,0-20
34,1,0-20
35,72,61-80
36,5,0-20
37,46,41-60
38,34,21-40
39,11,0-20
40,10,0-20
41,70,61-80
42,17,0-20
43,63,61-80
44,13,0-20
45,49,41-60
46,2,0-20
47,2,0-20
48,52,41-60
49,69,61-80
50,43,41-60
51,15,0-20
52,25,21-40
53,8,0-20
54,60,41-60
55,18,0-20
56,63,61-80
57,66,61-80
58,34,21-40
59,72,61-80
60,47,41-60
61,60,41-60
62,72,61-80
63,18,0-20
64,9,0-20
65,3,0-20
66,47,41-60
67,31,21-40
68,50,41-60
69,10,0-20
70,1,0-20
71,52,41-60
72,64,61-80
73,62,61-80
74,3,0-20
75,56,41-60
76,46,41-60
77,8,0-20
78,30,21-40
79,45,41-60
80,1,0-20
81,11,0-20
82,7,0-20
83,42,41-60
84,49,41-60
85,9,0-20
86,35,21-40
87,48,41-60
88,46,41-60
89,29,21-40
90,30,21-40
91,1,0-20
92,66,61-80
93,65,61-80
94,72,61-80
95,12,0-20
96,71,61-80
97,5,0-20
98,52,41-60
99,25,21-40
100,1,0-20
101,1,0-20
102,38,21-40
103,66,61-80
104,68,61-80
105,5,0-20
106,72,61-80
107,32,21-40
108,43,41-60
109,72,61-80
110,55,41-60
111,52,41-60
112,43,41-60
113,37,21-40
114,64,61-80
115,3,0-20
116,36,21-40
117,10,0-20
118,41,41-60
119,27,21-40
120,56,41-60
121,6,0-20
122,3,0-20
123,7,0-20
124,4,0-20
125,33,21-40
126,27,21-40
127,72,61-80
128,1,0-20
129,71,61-80
130,13,0-20
131,25,21-40
132,67,61-80
133,1,0-20
134,2,0-20
135,43,41-60
136,23,21-40
137,64,61-80
138,57,41-60
139,1,0-20
140,72,61-80
141,8,0-20
142,61,61-80
143,64,61-80
144,71,61-80
145,65,61-80
146,3,0-20
147,1,0-20
148,30,21-40
149,15,0-20
150,8,0-20
151,7,0-20
152,70,61-80
153,62,61-80
154,6,0-20
155,14,0-20
156,22,21-40
157,22,21-40
158,16,0-20
159,10,0-20
160,13,0-20
161,20,0-20
162,2,0-20
163,53,41-60
164,11,0-20
165,69,61-80
166,4,0-20
167,72,61-80
168,58,41-60
169,16,0-20
170,43,41-60
171,2,0-20
172,14,0-20
173,53,41-60
174,32,21-40
175,34,21-40
176,15,0-20
177,7,0-20
178,15,0-20
179,61,61-80
180,1,0-20
181,1,0-20
182,8,0-20
183,33,21-40
184,13,0-20
185,1,0-20
186,20,0-20
187,3,0-20
188,13,0-20
189,40,21-40
190,43,41-60
191,6,0-20
192,69,61-80
193,72,61-80
194,59,41-60
195,20,0-20
196,24,21-40
197,59,41-60
198,72,61-80
199,1,0-20
200,27,21-40
201,14,0-20
202,71,61-80
203,13,0-20
204,44,41-60
205,33,21-40
206,72,61-80
207,1,0-20
208,19,0-20
209,64,61-80
210,2,0-20
211,1,0-20
212,61,61-80
213,29,21-40
214,23,21-40
215,57,41-60
216,72,61-80
217,66,61-80
218,65,61-80
219,8,0-20
220,4,0-20
221,71,61-80
222,1,0-20
223,4,0-20
224,12,0-20
225,24,21-40
226,31,21-40
227,1,0-20
228,30,21-40
229,47,41-60
230,54,41-60
231,50,41-60
232,1,0-20
233,72,61-80
234,29,21-40
235,2,0-20
236,10,0-20
237,18,0-20
238,11,0-20
239,16,0-20
240,72,61-80
241,72,61-80
242,41,41-60
243,65,61-80
244,13,0-20
245,4,0-20
246,41,41-60
247,15,0-20
248,1,0-20
249,42,41-60
250,51,41-60
251,2,0-20
252,1,0-20
253,32,21-40
254,10,0-20
255,67,61-80
256,61,61-80
257,50,41-60
258,2,0-20
259,29,21-40
260,3,0-20
261,13,0-20
262,57,41-60
263,31,21-40
264,45,41-60
265,61,61-80
266,50,41-60
267,19,0-20
268,59,41-60
269,71,61-80
270,16,0-20
271,57,41-60
272,1,0-20
273,20,0-20
274,1,0-20
275,5,0-20
276,52,41-60
277,21,21-40
278,14,0-20
279,5,0-20
280,6,0-20
281,10,0-20
282,1,0-20
283,68,61-80
284,18,0-20
285,22,21-40
286,20,0-20
287,1,0-20
288,8,0-20
289,10,0-20
290,24,21-40
291,35,21-40
292,23,21-40
293,6,0-20
294,12,0-20
295,1,0-20
